Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,44.599998,46.000000,43.000000,43.400002,14.470843,1039000
2000-01-05,38.200001,41.000000,38.000000,40.599998,13.537235,2624000
2000-01-06,41.000000,41.200001,38.400002,38.599998,12.870376,1341000
2000-01-07,38.599998,39.799999,38.000000,38.599998,12.870376,1164000
2000-01-10,39.799999,40.799999,39.599998,40.000000,13.337178,761000
2000-01-11,40.799999,41.000000,38.599998,39.400002,13.137122,648000
2000-01-12,39.200001,39.400002,38.799999,39.400002,13.137122,364000
2000-01-13,38.799999,39.000000,38.599998,38.799999,12.937064,496000
2000-01-14,39.200001,40.599998,39.200001,40.599998,13.537235,934000
2000-01-17,41.200001,42.400002,40.799999,41.200001,13.737293,1737000
2000-01-18,41.599998,41.799999,40.799999,41.000000,13.670607,308000
2000-01-19,39.200001,41.599998,39.200001,39.599998,13.203804,513000
2000-01-20,40.000000,40.200001,39.200001,39.599998,13.203804,806000
2000-01-21,39.200001,40.599998,39.200001,40.000000,13.337178,493000
2000-01-24,40.200001,41.200001,40.000000,40.799999,13.603922,902000
2000-01-25,40.000000,40.000000,38.799999,39.200001,13.070437,1103000
2000-01-26,40.000000,40.200001,39.000000,39.000000,13.003750,1030000
2000-01-27,39.400002,39.400002,38.599998,38.599998,12.870376,1404000
2000-01-28,39.599998,39.799999,39.000000,39.000000,13.003750,530000
2000-01-31,39.599998,39.599998,38.599998,38.599998,12.870376,562000
2000-02-01,39.200001,39.599998,38.799999,39.000000,13.003750,954000
2000-02-02,39.000000,39.799999,39.000000,39.200001,13.070437,451000
2000-02-03,39.400002,39.400002,39.200001,39.200001,13.070437,436000
2000-02-04,39.000000,40.000000,38.599998,39.400002,13.137122,489000
2000-02-07,39.599998,39.599998,38.799999,38.799999,12.937064,857000
2000-02-08,39.000000,39.200001,38.599998,38.599998,12.870376,933000
2000-02-09,39.400002,40.400002,39.000000,40.200001,13.403864,2788000
2000-02-10,39.799999,40.200001,39.400002,40.200001,13.403864,841000
2000-02-11,40.599998,43.599998,40.400002,43.000000,14.337466,2456000
2000-02-14,42.200001,43.200001,41.799999,43.000000,14.337466,1399000
2000-02-15,42.000000,42.400002,39.599998,39.599998,13.203804,1505000
2000-02-16,39.400002,40.599998,38.799999,40.400002,13.470551,925000
2000-02-17,39.599998,39.599998,37.799999,39.000000,13.003750,899000
2000-02-18,39.000000,40.400002,37.200001,39.599998,13.203804,1674000
2000-02-21,null,null,null,null,null,null
2000-02-22,39.000000,39.000000,35.200001,35.200001,11.736717,1600000
2000-02-23,35.799999,37.799999,35.200001,37.200001,12.403577,1800000
2000-02-24,37.799999,39.200001,37.599998,38.799999,12.937064,1430000
2000-02-25,38.799999,40.799999,38.799999,40.000000,13.337178,926000
2000-02-28,40.000000,41.000000,40.000000,40.200001,13.403864,1212000
2000-02-29,40.799999,40.799999,39.599998,40.400002,13.470551,539000
2000-03-01,40.400002,41.200001,40.000000,41.200001,13.737293,693000
