Date,Time,Open,High,Low,Close,Volume
2011.02.11,00:00,101.56,102.03,100.43,101.43,308
2011.02.14,00:00,101.13,104.3,100.91,103.08,484
2011.02.15,00:00,103.11,104.04,101.3,101.64,402
2011.02.16,00:00,101.75,104.52,101.73,103.78,356
2011.02.17,00:00,104.16,104.3,102.37,102.59,230
2011.02.18,00:00,102.97,103.5,100.73,102.52,510
2011.02.21,00:00,102.96,108.7,102.93,105.74,877
2011.02.22,00:00,107.9,108.57,105.56,105.78,391
2011.02.23,00:00,106.1,112.46,105.97,111.25,784
2011.02.24,00:00,111.98,119.79,109.6,111.36,1977
2011.02.25,00:00,111.4,113.91,110.52,112.14,605
2011.02.28,00:00,112.5,114.5,111.25,111.8,581
2011.03.01,00:00,111.9,116.76,111.8,115.42,641
2011.03.02,00:00,116.2,117.81,114.53,116.35,642
2011.03.03,00:00,116.65,116.9,113.09,114.79,577
2011.03.04,00:00,114.85,116.49,114.79,115.97,229
2011.03.07,00:00,116.12,118.5,114.5,115.04,693
2011.03.08,00:00,114.8,115.29,112.13,113.06,459
2011.03.09,00:00,112.95,116.18,112.16,115.94,506
2011.03.10,00:00,116.12,116.55,113.52,115.43,538
2011.03.11,00:00,115.01,115.68,112.25,113.84,570
2011.03.14,00:00,113.6,114.18,111.16,113.67,598
2011.03.15,00:00,113.82,113.82,107.88,108.52,659
2011.03.16,00:00,108.59,112,107.4,110.6,720
2011.03.17,00:00,110.24,115.5,109.45,114.9,745
2011.03.18,00:00,115.5,117.29,113.07,113.93,688
2011.03.21,00:00,114.75,116.22,114.6,114.96,304
2011.03.22,00:00,114.98,116.09,114.15,115.7,317
2011.03.23,00:00,115.9,116.4,115.07,115.55,232
2011.03.24,00:00,115.38,115.92,114.5,115.72,251
2011.03.25,00:00,115.73,116.13,115.2,115.59,173
2011.03.28,00:00,115.75,116,114.55,114.8,196
2011.03.29,00:00,114.68,115.64,113.52,115.16,377
2011.03.30,00:00,115.11,115.7,114.5,115.13,239
2011.03.31,00:00,115.3,117.7,115.11,117.36,313
2011.04.01,00:00,117.61,119.14,116.75,118.7,370
2011.04.04,00:00,119.05,121.29,118.75,121.06,308
2011.04.05,00:00,120.81,122.89,119.95,122.22,448
2011.04.06,00:00,121.72,123.37,121.36,122.3,345
2011.04.07,00:00,122.35,122.89,121.38,122.67,271
2011.04.08,00:00,122.45,126.91,122.28,126.65,507
2011.04.11,00:00,126.58,127.02,123,123.98,545
2011.04.12,00:00,123.34,125.38,120,120.92,835
2011.04.13,00:00,120.8,123.26,120.2,122.88,405
2011.04.14,00:00,123.21,123.4,121.9,122.36,216
2011.04.15,00:00,122.4,124.02,121.59,123.45,382
2011.04.18,00:00,123.15,123.66,121,121.61,379
2011.04.19,00:00,121.77,122.29,119.03,121.33,609
2011.04.20,00:00,121.22,124.23,121.1,123.85,364
2011.04.21,00:00,123.85,124.81,123.2,123.99,309
2011.04.25,00:00,123.99,124.75,122.71,123.66,376
2011.04.26,00:00,123.45,124.4,122.78,124.14,256
2011.04.27,00:00,123.9,125.8,123.25,125.13,388
2011.04.28,00:00,125.3,126.66,124.07,125.02,491
2011.04.29,00:00,124.9,126.1,124.25,125.89,272
2011.05.02,00:00,126.1,126.54,121.67,125.12,877
2011.05.03,00:00,124.3,125.02,121.75,122.45,470
2011.05.04,00:00,122.14,123.06,120.49,121.19,420
2011.05.05,00:00,120.5,121.96,109.02,110.8,1619
2011.05.06,00:00,111.77,114.24,105.15,109.13,1555
2011.05.09,00:00,110.2,116.52,109.05,115.9,925
2011.05.10,00:00,115.4,117.95,113.58,117.63,652
2011.05.11,00:00,117.87,118.43,111.95,112.57,767
2011.05.12,00:00,113.23,114.56,110.15,112.98,858
2011.05.13,00:00,113.1,114.92,111.72,113.83,568
2011.05.16,00:00,113,113.5,110.14,110.84,457
2011.05.17,00:00,110.42,111.82,108.07,109.99,708
2011.05.18,00:00,110.56,113.1,110.42,112.3,363
2011.05.19,00:00,112.5,113.04,111.16,111.42,269
2011.05.20,00:00,111.66,112.88,108.6,112.39,784
2011.05.23,00:00,112.12,112.23,108.58,110.1,529
2011.05.24,00:00,109.54,112.65,109.5,112.53,332
2011.05.25,00:00,112,115.07,111.14,114.93,494
2011.05.26,00:00,114.73,115.47,114.1,115.05,243
2011.05.27,00:00,114.94,115.68,114.4,115.03,248
2011.05.30,00:00,114.87,115,114.24,114.68,134
2011.05.31,00:00,114.52,117.49,114.5,116.73,378
2011.06.01,00:00,117.07,117.28,113.84,114.53,435
2011.06.02,00:00,114.33,115.95,113.74,115.54,322
2011.06.03,00:00,115.66,116.25,113.4,115.84,553
2011.06.06,00:00,115.96,116.14,113.96,114.48,289
2011.06.07,00:00,114.3,117.43,113.8,116.78,479
2011.06.08,00:00,116.89,118.59,115.75,117.85,473
2011.06.09,00:00,117.8,119.86,117.37,119.57,322
2011.06.10,00:00,119.53,120.07,117.63,118.78,414
2011.06.13,00:00,118.46,120.25,117.12,119.1,563
2011.06.14,00:00,118.7,120.75,118.56,120.16,293
2011.06.15,00:00,119.09,119.38,112.32,113.01,805
2011.06.16,00:00,113.72,114.94,112.55,114.02,449
2011.06.17,00:00,114.21,114.31,111.05,113.21,553
2011.06.20,00:00,112.96,113.38,111.23,111.69,304
2011.06.21,00:00,111.54,113.1,109.92,110.95,578
2011.06.22,00:00,110.97,114.48,110.35,114.21,503
2011.06.23,00:00,113.19,113.4,105.72,107.26,944
2011.06.24,00:00,108.59,108.7,103.62,105.12,670
2011.06.27,00:00,105.36,106.74,102.28,105.99,830
2011.06.28,00:00,106.76,109.05,105.35,108.78,539
2011.06.29,00:00,108.65,112.67,108.1,112.4,540
2011.06.30,00:00,112.3,113.24,110.72,112.48,487
2011.07.01,00:00,111.8,112.48,109.5,111.77,594
2011.07.04,00:00,111.3,112.16,111.02,111.39,220
2011.07.05,00:00,111.55,114.44,110.45,113.61,593
2011.07.06,00:00,113.51,114.32,111.91,113.62,472
2011.07.07,00:00,114.4,118.7,113.75,118.59,572
2011.07.08,00:00,118.51,119.87,116.88,118.33,581
2011.07.11,00:00,118.27,118.4,115.22,117.24,534
2011.07.12,00:00,117.22,117.83,114.95,117.75,524
2011.07.13,00:00,116.95,119.86,116.71,118.78,448
2011.07.14,00:00,118.53,119.4,117.73,118.32,314
2011.07.18,00:00,117.55,117.8,114.66,116.05,479
2011.07.19,00:00,116.5,118.45,116.09,117.06,417
2011.07.20,00:00,117.45,118.86,117.06,118.15,291
2011.07.21,00:00,118.35,119.25,116.62,117.51,443
2011.07.22,00:00,118.03,118.8,117.35,118.67,227
2011.07.25,00:00,118.36,118.45,116.92,117.94,265
2011.07.26,00:00,117.65,119.05,116.53,118.28,442
2011.07.27,00:00,118.15,118.5,117.18,117.43,193
2011.07.28,00:00,117.3,118.71,117.05,117.36,327
2011.07.29,00:00,117.17,117.7,115.75,116.74,348
2011.08.01,00:00,117,120.4,114.78,116.81,1106
2011.08.02,00:00,117,118.4,115.53,116.46,521
2011.08.03,00:00,116.19,116.29,112.84,113.23,395
2011.08.04,00:00,113.5,113.73,107,107.25,722
2011.08.05,00:00,107.25,110.26,104.3,109.37,981
2011.08.08,00:00,108.5,108.5,102.7,103.74,685
2011.08.09,00:00,103.15,105.95,98.74,102.57,1385
2011.08.10,00:00,104.2,107.11,103.41,106.68,493
2011.08.11,00:00,105,108.22,104.43,108.02,457
2011.08.12,00:00,107.94,109.16,106.86,108.03,452
2011.08.15,00:00,108.1,110,107.4,109.91,340
2011.08.16,00:00,109.59,109.9,108.03,109.13,329
2011.08.17,00:00,109.58,111.74,109.09,110.6,429
2011.08.18,00:00,110.55,110.75,106.27,106.99,541
2011.08.19,00:00,106.27,109.4,105.06,108.62,634
2011.08.22,00:00,108.5,108.75,105.15,108.36,707
2011.08.23,00:00,108.1,110.2,107.2,109.31,480
2011.08.24,00:00,109.66,111,108.71,110.15,410
2011.08.25,00:00,110.32,111.45,109,110.62,461
2011.08.26,00:00,110.57,111.7,109.3,111.36,402
2011.08.29,00:00,110.77,112.73,110.53,111.88,330
2011.08.30,00:00,112.36,114.25,111.16,114.02,453
2011.08.31,00:00,113.85,115.19,113.52,114.85,235
2011.09.01,00:00,114.85,115.36,113.61,114.29,295
2011.09.02,00:00,114.18,114.58,111.36,112.33,460
2011.09.05,00:00,112.5,112.5,109.9,110.08,279
2011.09.06,00:00,109.89,113.61,109.85,112.89,453
2011.09.07,00:00,113.41,116.5,112.7,115.8,522
2011.09.08,00:00,116.05,116.6,113.95,114.55,381
2011.09.09,00:00,114.26,115.17,110.93,112.77,700
2011.09.12,00:00,112.43,113.76,110.42,112.25,651
2011.09.13,00:00,112.85,113.3,111.28,111.89,309
2011.09.14,00:00,111.93,112.7,110.83,112.4,328
2011.09.15,00:00,109.58,113.56,109,112.3,641
2011.09.16,00:00,112.46,114.25,111.51,112.22,525
2011.09.19,00:00,111.71,112.11,108.7,109.14,426
2011.09.20,00:00,109.2,111.59,108.7,110.54,445
2011.09.21,00:00,110.25,112.44,108.92,110.36,694
2011.09.22,00:00,109.5,109.5,104.85,105.49,530
2011.09.23,00:00,105.36,107,103.43,103.97,576
2011.09.26,00:00,103.61,105.34,101.66,103.94,704
2011.09.27,00:00,104.77,107.54,104.5,107.14,372
2011.09.28,00:00,106.75,107.41,103.23,103.81,543
2011.09.29,00:00,103,105.82,102.35,103.95,600
2011.09.30,00:00,104.91,104.91,101.78,102.76,412
2011.10.03,00:00,102,102.8,100.71,101.71,390
2011.10.04,00:00,100.65,102.41,99.11,99.79,575
2011.10.05,00:00,101.81,102.84,100.66,102.73,345
2011.10.06,00:00,102.65,105.88,101.53,105.73,563
2011.10.07,00:00,105.4,106.64,104.37,105.88,407
2011.10.10,00:00,106.01,109.5,105.65,108.95,477
2011.10.11,00:00,108.85,111.24,107.45,110.73,571
2011.10.12,00:00,110.31,113,109.89,111.36,518
2011.10.13,00:00,111.1,111.87,109.07,111.11,560
2011.10.14,00:00,111.15,114.8,110.96,114.68,416
2011.10.17,00:00,112.46,113.86,109.72,110.16,599
2011.10.18,00:00,110.16,111.89,108.45,111.15,590
2011.10.19,00:00,111.07,111.85,108.12,108.39,479
2011.10.20,00:00,108.5,110.17,107.31,109.76,447
2011.10.21,00:00,109.91,111.88,109.25,109.56,492
2011.10.24,00:00,109.32,111.6,109.32,111.45,244
2011.10.25,00:00,111.55,112.15,109.47,110.92,474
2011.10.26,00:00,110.85,111.78,108.76,108.91,411
2011.10.27,00:00,109.5,112.79,109.5,112.08,401
2011.10.28,00:00,112.13,112.23,109.65,109.91,295
2011.10.31,00:00,110.13,110.33,108.2,109.56,370
2011.11.01,00:00,109.09,109.68,106.1,109.54,672
2011.11.02,00:00,108.87,111.47,108.56,109.34,536
2011.11.03,00:00,109.65,111.24,107.83,110.83,565
2011.11.04,00:00,110.79,112.48,110.3,111.97,319
2011.11.07,00:00,112.41,115.23,111.26,114.56,580
2011.11.08,00:00,114.6,116.48,114.2,115,417
2011.11.09,00:00,115.42,115.75,111.78,112.31,484
2011.11.10,00:00,112.33,114.13,111.3,113.71,429
2011.11.11,00:00,113.07,114.91,113.06,114.16,262
2011.11.14,00:00,114.63,114.83,111.32,111.89,429
2011.11.15,00:00,111.36,112.6,111.05,112.18,229
2011.11.16,00:00,112.2,112.5,110.14,111.88,441
2011.11.17,00:00,110.85,111.98,107.56,108.22,622
2011.11.18,00:00,107.53,109.99,106.97,107.56,602
2011.11.21,00:00,107.46,107.74,105.65,106.88,361
2011.11.22,00:00,106.62,109.45,106.62,109.03,326
2011.11.23,00:00,108.61,108.85,106.82,107.02,248
2011.11.24,00:00,107.2,108.09,107.04,107.78,153
2011.11.25,00:00,107.5,107.79,105.85,106.4,279
2011.11.28,00:00,106.73,109.49,106.63,109,346
2011.11.29,00:00,108.52,111,108.39,110.82,293
2011.11.30,00:00,110.8,112.03,109.65,110.52,449
2011.12.01,00:00,110.75,111.24,108.18,108.99,437
2011.12.02,00:00,109.09,110.41,108.62,109.94,274
2011.12.05,00:00,110.36,111.62,109.2,109.81,430
2011.12.06,00:00,109.19,110.96,109.04,110.81,223
2011.12.07,00:00,110.7,111.49,109,109.53,382
2011.12.08,00:00,109.6,110.67,107.28,108.11,530
2011.12.09,00:00,107.66,108.99,107.11,108.62,281
2011.12.12,00:00,108.75,108.75,107,107.26,202
2011.12.13,00:00,107.23,111.1,107.07,109.5,580
2011.12.14,00:00,109.47,109.5,104.36,105.02,584
2011.12.15,00:00,104.88,106.5,104.88,105.09,304
2011.12.16,00:00,103.51,104.56,102.46,103.35,405
2011.12.19,00:00,103.63,104.57,102.37,103.64,440
2011.12.20,00:00,104.3,107.27,103.91,106.73,430
2011.12.21,00:00,107.15,108.17,106.16,107.71,347
2011.12.22,00:00,107.92,108.5,107.29,107.89,240
2011.12.23,00:00,107.77,108.55,107.4,107.96,212
2011.12.27,00:00,108.16,109.5,107.85,109.27,220
2011.12.28,00:00,108.93,109.5,106.77,107.56,410
2011.12.29,00:00,107.41,108.1,106.5,108.01,261
2011.12.30,00:00,108,108.25,106.62,107.38,265
2012.01.03,00:00,108.35,112.44,108.35,112.13,441
2012.01.04,00:00,112.1,113.97,111.27,113.7,381
2012.01.05,00:00,113.5,114.64,112.1,112.74,433
2012.01.06,00:00,112.85,113.68,112.03,113.06,310
2012.01.09,00:00,113.42,113.88,111.8,112.45,320
2012.01.10,00:00,112.5,114.01,112.43,113.28,239
2012.01.11,00:00,113.12,113.76,112.11,112.24,243
2012.01.12,00:00,112.84,115.12,110.31,111.26,805
2012.01.13,00:00,111.21,112.5,109.71,110.44,482
2012.01.16,00:00,110.61,111.6,110.4,111.34,168
2012.01.17,00:00,111.42,112.76,110.56,111.53,430
2012.01.18,00:00,111.46,112.2,110.33,110.66,295
2012.01.19,00:00,111.1,111.75,110.37,111.55,232
2012.01.20,00:00,111.53,112.06,109.42,109.86,362
2012.01.23,00:00,110.04,111.36,109.23,110.58,373
2012.01.24,00:00,110.84,111.11,109.7,110.03,202
2012.01.25,00:00,110.22,110.89,108.91,109.81,356
2012.01.26,00:00,110.45,111.89,110.27,110.79,291
2012.01.27,00:00,111,111.99,110.49,111.46,255
2012.01.30,00:00,111.5,111.78,110.25,110.75,232
2012.01.31,00:00,110.98,113.9,110.5,110.98,681
2012.02.01,00:00,111.3,112.82,111.02,111.56,335
2012.02.02,00:00,111.51,112.56,111.04,112.07,249
2012.02.03,00:00,112.5,114.71,111.93,114.58,349
2012.02.06,00:00,114.58,116.68,113.65,115.93,472
2012.02.07,00:00,116.64,117.5,115.6,116.23,340
2012.02.08,00:00,116.01,117.8,115.9,117.2,262
2012.02.09,00:00,117.7,118.79,117.28,118.59,214
2012.02.10,00:00,118.61,118.61,116.29,117.31,335
2012.02.13,00:00,117.69,118.61,117.35,117.93,229
2012.02.14,00:00,117.46,117.9,116.53,117.35,264
2012.02.15,00:00,117.44,119.99,117.4,118.93,370
2012.02.16,00:00,118.9,120.38,118.32,120.11,292
2012.02.17,00:00,120.13,120.7,118.85,119.58,316
2012.02.20,00:00,120,121.15,119.8,120.05,266
2012.02.21,00:00,120.07,121.88,119.21,121.66,376
2012.02.22,00:00,121.5,123.23,121,122.9,307
2012.02.23,00:00,122.73,124.5,122.1,123.62,392
2012.02.24,00:00,124.01,125.55,123.3,125.47,305
2012.02.27,00:00,125.25,125.51,123,124.17,395
2012.02.28,00:00,123.39,123.95,121.5,121.55,307
2012.02.29,00:00,121.61,123.2,120.5,122.66,436
2012.03.01,00:00,123,128.4,122.49,126.2,863
2012.03.02,00:00,126.16,126.16,123.12,123.65,358
2012.03.05,00:00,123.37,124.66,122.66,123.8,358
2012.03.06,00:00,124.39,124.39,121.59,121.98,320
2012.03.07,00:00,122.19,124.45,121.99,124.12,300
2012.03.08,00:00,124.05,126.34,123.8,125.44,370
2012.03.09,00:00,125.48,126.37,124.69,125.98,287
2012.03.12,00:00,125.84,125.98,124.2,125.34,307
2012.03.13,00:00,125.5,126.79,125,126.22,287
2012.03.14,00:00,126.12,126.68,124.64,124.97,294
2012.03.15,00:00,125.12,125.35,120.97,123.55,720
2012.03.16,00:00,122.55,126.16,122.45,125.81,417
2012.03.19,00:00,125.6,126.05,124.82,125.71,236
2012.03.20,00:00,125.27,125.44,123.2,124.12,334
2012.03.21,00:00,124.21,124.8,123.76,124.2,208
2012.03.22,00:00,124.04,124.25,122.3,123.14,301
2012.03.23,00:00,123.3,127.06,123.1,125.13,610
2012.03.26,00:00,125.04,125.89,124.58,125.65,202
2012.03.27,00:00,125.74,126.18,124.91,125.54,235
2012.03.28,00:00,125.18,125.18,123.53,124.16,229
2012.03.29,00:00,124.23,124.64,121.37,122.39,471
2012.03.30,00:00,122.6,124.07,122.58,122.88,271
2012.04.02,00:00,122.94,125.63,121.7,125.43,538
2012.04.03,00:00,125.3,125.97,124.3,124.86,291
2012.04.04,00:00,124.88,124.99,122.3,122.34,285
2012.04.05,00:00,122.54,123.54,121.8,123.43,260
2012.04.09,00:00,122.85,122.86,121.02,122.67,351
2012.04.10,00:00,122.53,122.83,119.49,119.88,404
2012.04.11,00:00,119.87,120.8,119.05,120.18,320
2012.04.12,00:00,120.14,121.92,119.28,121.71,372
2012.04.13,00:00,121.88,122,120.77,121.83,242
2012.04.16,00:00,121,121,118.2,118.68,329
2012.04.17,00:00,118.53,119.34,117.98,118.78,248
2012.04.18,00:00,118.45,118.85,116.7,117.97,383
2012.04.19,00:00,118.15,119.15,117.68,118,280
2012.04.20,00:00,118.01,119.69,117.87,118.76,290
2012.04.23,00:00,118.7,118.91,117.21,118.71,340
2012.04.24,00:00,118.75,118.94,117.85,118.16,160
2012.04.25,00:00,118.38,119.25,117.45,119.12,287
2012.04.26,00:00,119.05,120.17,118.78,119.92,192
2012.04.27,00:00,119.6,119.95,119.06,119.83,156
2012.04.30,00:00,119.7,119.79,118.73,119.47,190
2012.05.01,00:00,119.28,120.02,118.8,119.66,207
2012.05.02,00:00,119.7,119.8,117.64,118.2,283
2012.05.03,00:00,118.2,118.45,115.92,116.08,295
2012.05.04,00:00,115.91,116.29,111.76,113.18,634
2012.05.07,00:00,112.8,113.4,110.34,113.16,577
2012.05.08,00:00,113.16,113.64,110.53,112.73,580
2012.05.09,00:00,113.05,113.27,111.31,113.2,378
2012.05.10,00:00,112.72,113.64,112.12,112.73,304
2012.05.11,00:00,112.05,112.8,111.4,112.26,260
2012.05.14,00:00,112.07,112.07,110.04,111.57,357
2012.05.15,00:00,111.17,112.67,110.93,112.24,242
2012.05.16,00:00,111.26,111.46,109.1,109.75,322
2012.05.17,00:00,109.43,110.15,106.94,107.49,449
2012.05.18,00:00,106.75,107.99,106.4,107.14,280
2012.05.21,00:00,107.4,109.43,106.75,108.81,396
2012.05.22,00:00,109.25,109.36,107.79,108.41,231
2012.05.23,00:00,108.11,108.16,105.39,105.56,300
2012.05.24,00:00,106.1,107.25,105.03,106.55,400
2012.05.25,00:00,106.55,107.24,106.02,106.83,217
2012.05.28,00:00,106.83,108.04,106.8,107.11,221
2012.05.29,00:00,107.45,107.95,106.06,106.68,302
2012.05.30,00:00,106.82,106.82,102.88,103.47,454
2012.05.31,00:00,103.23,104.16,101.27,101.87,443
2012.06.01,00:00,101.69,101.95,97.54,98.43,557
2012.06.04,00:00,98.43,99.1,95.63,98.85,653
2012.06.05,00:00,99.16,99.63,97.68,98.84,359
2012.06.06,00:00,98.9,101.39,98.71,100.64,363
2012.06.07,00:00,100.91,102.45,99.07,99.93,579
2012.06.08,00:00,99.3,99.99,97.19,99.47,544
2012.06.11,00:00,100.24,102.21,96.5,98,919
2012.06.12,00:00,96.81,97.97,96.62,97.14,238
2012.06.13,00:00,97.24,98.38,96.67,97.13,332
2012.06.14,00:00,97.2,97.8,96.33,97.03,278
2012.06.15,00:00,97.9,98.1,96.97,97.61,198
2012.06.18,00:00,98.04,99.5,95.38,96.05,626
2012.06.19,00:00,95.91,96.8,94.44,95.76,458
2012.06.20,00:00,95.71,96.04,92.38,92.69,431
2012.06.21,00:00,92.55,92.76,88.9,89.23,441
2012.06.22,00:00,89.38,91.7,88.49,90.98,483
2012.06.25,00:00,91.65,91.75,89.6,91.01,367
2012.06.26,00:00,91.3,93.23,90.7,93.02,335
2012.06.27,00:00,92.81,93.95,91.7,93.5,382
2012.06.28,00:00,93.32,93.85,90.88,91.36,399
2012.06.29,00:00,92.06,98.29,91.73,97.8,739
2012.07.02,00:00,97.6,97.87,95.3,97.34,489
2012.07.03,00:00,97.24,101.58,97.12,100.68,549
2012.07.04,00:00,100.75,100.95,99.26,99.77,241
2012.07.05,00:00,99.75,102.34,99.3,100.7,514
2012.07.06,00:00,100.4,100.4,97.73,98.19,314
2012.07.09,00:00,98.15,101.06,97.92,100.32,412
2012.07.10,00:00,99.5,99.65,97.73,97.97,232
2012.07.11,00:00,97.97,100.83,97.83,100.23,375
2012.07.12,00:00,100.64,101.36,98.51,101.07,528
2012.07.13,00:00,100.53,103.44,100.51,102.4,400
2012.07.16,00:00,101.58,103.57,101.02,103.37,332
2012.07.17,00:00,103.32,104.75,102.77,104,329
2012.07.18,00:00,103.58,105.46,103.22,105.16,291
2012.07.19,00:00,105.32,108.18,105.28,107.8,333
2012.07.20,00:00,107.5,107.7,105.6,106.83,354
2012.07.23,00:00,106.9,106.94,102.42,103.26,541
2012.07.24,00:00,103.09,104.48,102.53,103.42,358
2012.07.25,00:00,103.16,104.71,102.1,104.38,401
2012.07.26,00:00,104.15,106.18,103.47,105.26,432
2012.07.27,00:00,105.19,106.73,105.02,106.47,215
2012.07.30,00:00,106.37,106.99,105.58,106.2,266
2012.07.31,00:00,106.12,106.52,104.1,104.92,365
2012.08.01,00:00,104.4,106.92,104.06,105.96,417
2012.08.02,00:00,105.8,107.3,104.97,105.9,457
2012.08.03,00:00,105.93,109.13,105.8,108.94,366
2012.08.06,00:00,108.6,109.77,107.9,109.55,280
2012.08.07,00:00,109.43,112.56,109.13,112,430
2012.08.08,00:00,111.58,113.27,110.85,112.14,429
2012.08.09,00:00,111.99,113.53,111.6,113.22,264
2012.08.10,00:00,113.28,113.54,111.31,112.95,414
2012.08.13,00:00,113.4,115.11,113.09,113.6,385
2012.08.14,00:00,113.47,114.3,113.22,114.03,161
