Date,Open,High,Low,Close,Volume
02/01/79,259.81,259.81,259.81,259.81,631
03/01/79,257.73,257.73,257.73,257.73,631
04/01/79,255.16,255.16,255.16,255.16,492
05/01/79,255.28,255.28,255.28,255.28,348
08/01/79,256.07,256.07,256.07,256.07,608
09/01/79,255.46,255.46,255.46,255.46,776
10/01/79,251.72,251.72,251.72,251.72,628
11/01/79,252.96,252.96,252.96,252.96,419
12/01/79,253.30,253.30,253.30,253.30,435
15/01/79,252.60,252.60,252.60,252.60,446
16/01/79,248.28,248.28,248.28,248.28,485
17/01/79,250.49,250.49,250.49,250.49,511
18/01/79,246.94,246.94,246.94,246.94,279
19/01/79,245.70,245.70,245.70,245.70,248
22/01/79,242.71,242.71,242.71,242.71,452
23/01/79,239.03,239.03,239.03,239.03,513
24/01/79,239.60,239.60,239.60,239.60,518
25/01/79,242.61,242.61,242.61,242.61,937
26/01/79,242.53,242.53,242.53,242.53,549
29/01/79,241.33,241.33,241.33,241.33,289
30/01/79,241.38,241.38,241.38,241.38,291
31/01/79,239.81,239.81,239.81,239.81,190
01/02/79,236.60,236.60,236.60,236.60,349
02/02/79,235.77,235.77,235.77,235.77,287
05/02/79,233.51,233.51,233.51,233.51,324
06/02/79,231.91,231.91,231.91,231.91,391
07/02/79,231.28,231.28,231.28,231.28,327
08/02/79,236.42,236.42,236.42,236.42,535
09/02/79,235.73,235.73,235.73,235.73,459
13/02/79,238.53,238.53,238.53,238.53,681
14/02/79,239.14,239.14,239.14,239.14,559
15/02/79,237.72,237.72,237.72,237.72,434
16/02/79,236.39,236.39,236.39,236.39,389
19/02/79,235.12,235.12,235.12,235.12,469
20/02/79,233.98,233.98,233.98,233.98,480
21/02/79,230.16,230.16,230.16,230.16,448
22/02/79,225.91,225.91,225.91,225.91,479
23/02/79,225.72,225.72,225.72,225.72,618
26/02/79,225.60,225.60,225.60,225.60,337
27/02/79,224.93,224.93,224.93,224.93,227
28/02/79,229.43,229.43,229.43,229.43,416
01/03/79,229.99,229.99,229.99,229.99,459
02/03/79,229.76,229.76,229.76,229.76,445
05/03/79,230.58,230.58,230.58,230.58,394
06/03/79,231.91,231.91,231.91,231.91,661
07/03/79,230.56,230.56,230.56,230.56,713
08/03/79,228.04,228.04,228.04,228.04,586
09/03/79,226.43,226.43,226.43,226.43,639
12/03/79,224.56,224.56,224.56,224.56,787
13/03/79,224.74,224.74,224.74,224.74,691
14/03/79,223.72,223.72,223.72,223.72,604
15/03/79,223.39,223.39,223.39,223.39,397
16/03/79,223.81,223.81,223.81,223.81,345
19/03/79,221.17,221.17,221.17,221.17,419
20/03/79,214.00,214.00,214.00,214.00,425
21/03/79,210.83,210.83,210.83,210.83,450
22/03/79,210.47,210.47,210.47,210.47,365
23/03/79,209.82,209.82,209.82,209.82,259
26/03/79,209.72,209.72,209.72,209.72,218
27/03/79,212.89,212.89,212.89,212.89,288
28/03/79,214.96,214.96,214.96,214.96,367
29/03/79,219.07,219.07,219.07,219.07,796
30/03/79,218.09,218.09,218.09,218.09,"1,395"
02/04/79,214.67,214.67,214.67,214.67,685
03/04/79,213.49,213.49,213.49,213.49,402
04/04/79,212.25,212.25,212.25,212.25,200
05/04/79,210.46,210.46,210.46,210.46,502
09/04/79,210.87,210.87,210.87,210.87,261
10/04/79,210.96,210.96,210.96,210.96,260
11/04/79,209.46,209.46,209.46,209.46,230
12/04/79,206.99,206.99,206.99,206.99,443
16/04/79,202.12,202.12,202.12,202.12,371
17/04/79,203.14,203.14,203.14,203.14,601
18/04/79,198.27,198.27,198.27,198.27,482
19/04/79,196.44,196.44,196.44,196.44,320
20/04/79,194.59,194.59,194.59,194.59,415
23/04/79,192.47,192.47,192.47,192.47,254
24/04/79,187.21,187.21,187.21,187.21,405
25/04/79,182.49,182.49,182.49,182.49,315
26/04/79,184.41,184.41,184.41,184.41,319
27/04/79,182.49,182.49,182.49,182.49,549
30/04/79,175.88,175.88,175.88,175.88,359
02/05/79,171.29,171.29,171.29,171.29,401
03/05/79,167.32,167.32,167.32,167.32,276
04/05/79,169.70,169.70,169.70,169.70,450
08/05/79,168.18,168.18,168.18,168.18,273
09/05/79,168.88,168.88,168.88,168.88,269
11/05/79,168.13,168.13,168.13,168.13,332
14/05/79,165.90,165.90,165.90,165.90,697
15/05/79,168.30,168.30,168.30,168.30,523
16/05/79,168.02,168.02,168.02,168.02,306
17/05/79,165.66,165.66,165.66,165.66,188
18/05/79,163.37,163.37,163.37,163.37,179
21/05/79,161.14,161.14,161.14,161.14,254
22/05/79,158.57,158.57,158.57,158.57,213
23/05/79,158.83,158.83,158.83,158.83,272
24/05/79,164.08,164.08,164.08,164.08,487
25/05/79,174.26,174.26,174.26,174.26,859
28/05/79,193.26,193.26,193.26,193.26,"1,204"
29/05/79,187.96,187.96,187.96,187.96,"1,118"
30/05/79,184.26,184.26,184.26,184.26,954
31/05/79,183.72,183.72,183.72,183.72,654
01/06/79,185.18,185.18,185.18,185.18,641
04/06/79,184.72,184.72,184.72,184.72,456
05/06/79,180.04,180.04,180.04,180.04,378
06/06/79,178.94,178.94,178.94,178.94,331
07/06/79,181.90,181.90,181.90,181.90,325
08/06/79,179.90,179.90,179.90,179.90,250
11/06/79,177.25,177.25,177.25,177.25,186
12/06/79,174.29,174.29,174.29,174.29,199
13/06/79,174.68,174.68,174.68,174.68,235
14/06/79,176.06,176.06,176.06,176.06,94
15/06/79,177.64,177.64,177.64,177.64,259
18/06/79,177.01,177.01,177.01,177.01,157
19/06/79,175.59,175.59,175.59,175.59,141
20/06/79,175.16,175.16,175.16,175.16,97
21/06/79,175.08,175.08,175.08,175.08,171
22/06/79,174.26,174.26,174.26,174.26,173
25/06/79,173.99,173.99,173.99,173.99,106
26/06/79,175.95,175.95,175.95,175.95,221
27/06/79,175.81,175.81,175.81,175.81,171
28/06/79,174.64,174.64,174.64,174.64,124
29/06/79,175.58,175.58,175.58,175.58,84
02/07/79,174.42,174.42,174.42,174.42,61
03/07/79,174.24,174.24,174.24,174.24,86
04/07/79,174.30,174.30,174.30,174.30,60
05/07/79,174.53,174.53,174.53,174.53,59
06/07/79,173.34,173.34,173.34,173.34,177
09/07/79,172.65,172.65,172.65,172.65,111
11/07/79,171.97,171.97,171.97,171.97,82
12/07/79,170.40,170.40,170.40,170.40,117
13/07/79,169.15,169.15,169.15,169.15,64
16/07/79,166.57,166.57,166.57,166.57,121
17/07/79,166.69,166.69,166.69,166.69,115
18/07/79,167.12,167.12,167.12,167.12,72
19/07/79,169.44,169.44,169.44,169.44,167
20/07/79,172.38,172.38,172.38,172.38,380
23/07/79,172.65,172.65,172.65,172.65,236
24/07/79,171.72,171.72,171.72,171.72,148
25/07/79,173.44,173.44,173.44,173.44,225
26/07/79,176.04,176.04,176.04,176.04,396
27/07/79,174.67,174.67,174.67,174.67,514
30/07/79,175.58,175.58,175.58,175.58,233
31/07/79,175.09,175.09,175.09,175.09,138
01/08/79,173.49,173.49,173.49,173.49,204
02/08/79,174.04,174.04,174.04,174.04,151
03/08/79,176.71,176.71,176.71,176.71,396
06/08/79,177.32,177.32,177.32,177.32,397
07/08/79,175.45,175.45,175.45,175.45,298
08/08/79,178.32,178.32,178.32,178.32,660
09/08/79,178.44,178.44,178.44,178.44,612
10/08/79,177.28,177.28,177.28,177.28,903
14/08/79,176.32,176.32,176.32,176.32,331
15/08/79,174.95,174.95,174.95,174.95,220
16/08/79,174.46,174.46,174.46,174.46,311
17/08/79,173.53,173.53,173.53,173.53,131
20/08/79,172.56,172.56,172.56,172.56,117
21/08/79,172.64,172.64,172.64,172.64,214
22/08/79,171.98,171.98,171.98,171.98,137
23/08/79,171.77,171.77,171.77,171.77,307
24/08/79,171.90,171.90,171.90,171.90,205
27/08/79,169.78,169.78,169.78,169.78,395
28/08/79,170.14,170.14,170.14,170.14,317
29/08/79,169.21,169.21,169.21,169.21,346
30/08/79,169.42,169.42,169.42,169.42,563
31/08/79,170.91,170.91,170.91,170.91,596
03/09/79,171.26,171.26,171.26,171.26,428
04/09/79,172.85,172.85,172.85,172.85,470
05/09/79,171.56,171.56,171.56,171.56,451
06/09/79,170.07,170.07,170.07,170.07,184
07/09/79,171.41,171.41,171.41,171.41,212
10/09/79,170.34,170.34,170.34,170.34,126
11/09/79,170.04,170.04,170.04,170.04,108
12/09/79,168.94,168.94,168.94,168.94,189
13/09/79,168.11,168.11,168.11,168.11,236
14/09/79,167.20,167.20,167.20,167.20,119
17/09/79,164.81,164.81,164.81,164.81,200
18/09/79,166.26,166.26,166.26,166.26,218
19/09/79,166.11,166.11,166.11,166.11,114
20/09/79,169.20,169.20,169.20,169.20,595
21/09/79,168.18,168.18,168.18,168.18,515
24/09/79,167.79,167.79,167.79,167.79,151
25/09/79,169.01,169.01,169.01,169.01,315
26/09/79,169.29,169.29,169.29,169.29,324
27/09/79,169.09,169.09,169.09,169.09,319
28/09/79,169.32,169.32,169.32,169.32,203
01/10/79,169.02,169.02,169.02,169.02,292
02/10/79,168.20,168.20,168.20,168.20,460
03/10/79,168.59,168.59,168.59,168.59,174
04/10/79,168.35,168.35,168.35,168.35,254
05/10/79,168.61,168.61,168.61,168.61,161
08/10/79,174.74,174.74,174.74,174.74,864
09/10/79,178.05,178.05,178.05,178.05,"1,218"
10/10/79,175.15,175.15,175.15,175.15,"1,511"
11/10/79,172.15,172.15,172.15,172.15,767
12/10/79,170.72,170.72,170.72,170.72,497
15/10/79,169.73,169.73,169.73,169.73,321
16/10/79,168.41,168.41,168.41,168.41,268
17/10/79,167.51,167.51,167.51,167.51,600
18/10/79,166.37,166.37,166.37,166.37,478
19/10/79,168.09,168.09,168.09,168.09,437
22/10/79,167.95,167.95,167.95,167.95,254
24/10/79,167.11,167.11,167.11,167.11,249
25/10/79,165.41,165.41,165.41,165.41,310
26/10/79,163.15,163.15,163.15,163.15,558
29/10/79,159.19,159.19,159.19,159.19,482
30/10/79,158.77,158.77,158.77,158.77,617
31/10/79,158.47,158.47,158.47,158.47,322
01/11/79,155.83,155.83,155.83,155.83,517
02/11/79,154.47,154.47,154.47,154.47,365
05/11/79,153.50,153.50,153.50,153.50,292
06/11/79,153.47,153.47,153.47,153.47,281
07/11/79,151.82,151.82,151.82,151.82,360
08/11/79,148.28,148.28,148.28,148.28,758
09/11/79,147.69,147.69,147.69,147.69,"1,058"
12/11/79,146.11,146.11,146.11,146.11,283
13/11/79,150.49,150.49,150.49,150.49,592
14/11/79,149.03,149.03,149.03,149.03,516
15/11/79,147.34,147.34,147.34,147.34,313
16/11/79,147.74,147.74,147.74,147.74,209
19/11/79,148.64,148.64,148.64,148.64,199
20/11/79,149.76,149.76,149.76,149.76,315
21/11/79,148.46,148.46,148.46,148.46,244
22/11/79,148.33,148.33,148.33,148.33,184
23/11/79,148.37,148.37,148.37,148.37,221
26/11/79,149.92,149.92,149.92,149.92,183
27/11/79,150.77,150.77,150.77,150.77,267
28/11/79,153.80,153.80,153.80,153.80,531
29/11/79,152.92,152.92,152.92,152.92,617
30/11/79,152.45,152.45,152.45,152.45,209
03/12/79,151.72,151.72,151.72,151.72,99
04/12/79,152.15,152.15,152.15,152.15,101
06/12/79,152.89,152.89,152.89,152.89,104
07/12/79,153.02,153.02,153.02,153.02,165
11/12/79,154.97,154.97,154.97,154.97,264
12/12/79,154.55,154.55,154.55,154.55,270
13/12/79,154.34,154.34,154.34,154.34,224
14/12/79,152.77,152.77,152.77,152.77,174
17/12/79,151.29,151.29,151.29,151.29,288
18/12/79,150.61,150.61,150.61,150.61,157
19/12/79,150.82,150.82,150.82,150.82,218
20/12/79,150.76,150.76,150.76,150.76,135
21/12/79,151.09,151.09,151.09,151.09,139
24/12/79,150.15,150.15,150.15,150.15,169
25/12/79,148.71,148.71,148.71,148.71,131
26/12/79,148.06,148.06,148.06,148.06,166
27/12/79,147.07,147.07,147.07,147.07,390
28/12/79,149.40,149.40,149.40,149.40,273
02/01/80,148.23,148.23,148.23,148.23,207
03/01/80,146.44,146.44,146.44,146.44,220
04/01/80,144.36,144.36,144.36,144.36,226
07/01/80,142.54,142.54,142.54,142.54,192
08/01/80,138.02,138.02,138.02,138.02,308
09/01/80,135.63,135.63,135.63,135.63,499
10/01/80,136.48,136.48,136.48,136.48,298
11/01/80,134.47,134.47,134.47,134.47,122
14/01/80,133.17,133.17,133.17,133.17,118
15/01/80,133.66,133.66,133.66,133.66,141
16/01/80,135.97,135.97,135.97,135.97,178
17/01/80,136.84,136.84,136.84,136.84,155
18/01/80,139.01,139.01,139.01,139.01,144
21/01/80,140.04,140.04,140.04,140.04,150
22/01/80,139.01,139.01,139.01,139.01,215
23/01/80,138.91,138.91,138.91,138.91,131
24/01/80,138.14,138.14,138.14,138.14,67
25/01/80,138.36,138.36,138.36,138.36,52
28/01/80,137.90,137.90,137.90,137.90,44
29/01/80,137.21,137.21,137.21,137.21,61
30/01/80,137.60,137.60,137.60,137.60,37
31/01/80,136.84,136.84,136.84,136.84,112
01/02/80,136.63,136.63,136.63,136.63,45
04/02/80,135.86,135.86,135.86,135.86,30
05/02/80,135.20,135.20,135.20,135.20,146
06/02/80,135.17,135.17,135.17,135.17,125
07/02/80,135.62,135.62,135.62,135.62,112
08/02/80,135.42,135.42,135.42,135.42,196
11/02/80,135.14,135.14,135.14,135.14,123
12/02/80,135.25,135.25,135.25,135.25,140
13/02/80,135.27,135.27,135.27,135.27,114
14/02/80,135.85,135.85,135.85,135.85,75
15/02/80,136.16,136.16,136.16,136.16,130
18/02/80,136.02,136.02,136.02,136.02,188
19/02/80,136.13,136.13,136.13,136.13,142
20/02/80,137.08,137.08,137.08,137.08,203
21/02/80,138.14,138.14,138.14,138.14,169
22/02/80,138.96,138.96,138.96,138.96,151
25/02/80,138.88,138.88,138.88,138.88,113
26/02/80,139.11,139.11,139.11,139.11,130
27/02/80,139.75,139.75,139.75,139.75,192
28/02/80,139.20,139.20,139.20,139.20,157
29/02/80,137.91,137.91,137.91,137.91,118
04/03/80,140.08,140.08,140.08,140.08,270
05/03/80,140.56,140.56,140.56,140.56,238
06/03/80,140.06,140.06,140.06,140.06,199
07/03/80,140.09,140.09,140.09,140.09,113
10/03/80,137.97,137.97,137.97,137.97,291
11/03/80,137.19,137.19,137.19,137.19,91
12/03/80,138.10,138.10,138.10,138.10,109
13/03/80,138.08,138.08,138.08,138.08,136
14/03/80,139.22,139.22,139.22,139.22,208
17/03/80,139.02,139.02,139.02,139.02,134
18/03/80,139.06,139.06,139.06,139.06,67
19/03/80,138.82,138.82,138.82,138.82,64
20/03/80,138.24,138.24,138.24,138.24,94
21/03/80,138.48,138.48,138.48,138.48,78
24/03/80,137.64,137.64,137.64,137.64,117
25/03/80,137.77,137.77,137.77,137.77,151
26/03/80,137.54,137.54,137.54,137.54,82
27/03/80,138.98,138.98,138.98,138.98,199
28/03/80,139.31,139.31,139.31,139.31,214
31/03/80,138.25,138.25,138.25,138.25,73
01/04/80,140.18,140.18,140.18,140.18,223
02/04/80,140.09,140.09,140.09,140.09,358
03/04/80,139.83,139.83,139.83,139.83,326
04/04/80,139.28,139.28,139.28,139.28,476
08/04/80,137.99,137.99,137.99,137.99,366
09/04/80,136.95,136.95,136.95,136.95,447
10/04/80,136.18,136.18,136.18,136.18,429
11/04/80,136.08,136.08,136.08,136.08,372
15/04/80,134.95,134.95,134.95,134.95,350
16/04/80,133.71,133.71,133.71,133.71,757
17/04/80,132.17,132.17,132.17,132.17,550
18/04/80,131.62,131.62,131.62,131.62,"1,078"
21/04/80,130.33,130.33,130.33,130.33,562
22/04/80,129.51,129.51,129.51,129.51,397
23/04/80,130.19,130.19,130.19,130.19,322
24/04/80,130.26,130.26,130.26,130.26,181
25/04/80,130.24,130.24,130.24,130.24,196
28/04/80,130.00,130.00,130.00,130.00,200
29/04/80,129.63,129.63,129.63,129.63,237
30/04/80,129.63,129.63,129.63,129.63,98
02/05/80,130.00,130.00,130.00,130.00,93
06/05/80,129.62,129.62,129.62,129.62,131
07/05/80,130.17,130.17,130.17,130.17,176
08/05/80,130.44,130.44,130.44,130.44,278
09/05/80,130.12,130.12,130.12,130.12,577
12/05/80,130.03,130.03,130.03,130.03,346
13/05/80,129.14,129.14,129.14,129.14,181
14/05/80,128.79,128.79,128.79,128.79,249
15/05/80,127.84,127.84,127.84,127.84,232
16/05/80,127.89,127.89,127.89,127.89,253
19/05/80,127.46,127.46,127.46,127.46,206
20/05/80,127.34,127.34,127.34,127.34,204
21/05/80,126.77,126.77,126.77,126.77,211
22/05/80,125.80,125.80,125.80,125.80,204
23/05/80,125.63,125.63,125.63,125.63,308
26/05/80,124.54,124.54,124.54,124.54,186
27/05/80,124.55,124.55,124.55,124.55,180
28/05/80,124.15,124.15,124.15,124.15,152
30/05/80,124.11,124.11,124.11,124.11,74
02/06/80,123.96,123.96,123.96,123.96,162
03/06/80,123.89,123.89,123.89,123.89,89
04/06/80,123.36,123.36,123.36,123.36,122
05/06/80,123.27,123.27,123.27,123.27,80
06/06/80,122.87,122.87,122.87,122.87,400
09/06/80,123.18,123.18,123.18,123.18,504
10/06/80,123.67,123.67,123.67,123.67,318
11/06/80,124.28,124.28,124.28,124.28,554
12/06/80,125.98,125.98,125.98,125.98,556
13/06/80,128.60,128.60,128.60,128.60,605
16/06/80,127.50,127.50,127.50,127.50,687
17/06/80,127.33,127.33,127.33,127.33,398
18/06/80,127.05,127.05,127.05,127.05,276
19/06/80,126.58,126.58,126.58,126.58,277
20/06/80,125.88,125.88,125.88,125.88,265
23/06/80,126.09,126.09,126.09,126.09,127
24/06/80,125.40,125.40,125.40,125.40,148
25/06/80,125.73,125.73,125.73,125.73,149
26/06/80,127.52,127.52,127.52,127.52,266
27/06/80,128.28,128.28,128.28,128.28,296
30/06/80,127.81,127.81,127.81,127.81,127
02/07/80,127.26,127.26,127.26,127.26,73
03/07/80,127.34,127.34,127.34,127.34,160
04/07/80,127.04,127.04,127.04,127.04,132
07/07/80,127.31,127.31,127.31,127.31,137
08/07/80,127.44,127.44,127.44,127.44,143
09/07/80,127.77,127.77,127.77,127.77,320
10/07/80,127.96,127.96,127.96,127.96,241
11/07/80,127.76,127.76,127.76,127.76,426
14/07/80,127.57,127.57,127.57,127.57,178
15/07/80,127.45,127.45,127.45,127.45,438
16/07/80,127.35,127.35,127.35,127.35,191
17/07/80,127.30,127.30,127.30,127.30,227
18/07/80,126.94,126.94,126.94,126.94,300
21/07/80,126.61,126.61,126.61,126.61,285
22/07/80,126.75,126.75,126.75,126.75,110
23/07/80,126.75,126.75,126.75,126.75,146
24/07/80,126.84,126.84,126.84,126.84,93
25/07/80,126.85,126.85,126.85,126.85,117
29/07/80,126.93,126.93,126.93,126.93,114
30/07/80,126.82,126.82,126.82,126.82,87
31/07/80,126.61,126.61,126.61,126.61,63
01/08/80,127.23,127.23,127.23,127.23,237
04/08/80,126.97,126.97,126.97,126.97,114
05/08/80,127.34,127.34,127.34,127.34,112
06/08/80,127.10,127.10,127.10,127.10,129
07/08/80,127.19,127.19,127.19,127.19,364
08/08/80,126.45,126.45,126.45,126.45,208
11/08/80,125.68,125.68,125.68,125.68,334
13/08/80,125.01,125.01,125.01,125.01,137
14/08/80,124.93,124.93,124.93,124.93,83
15/08/80,124.97,124.97,124.97,124.97,149
18/08/80,124.71,124.71,124.71,124.71,338
19/08/80,124.42,124.42,124.42,124.42,237
20/08/80,123.56,123.56,123.56,123.56,477
21/08/80,122.59,122.59,122.59,122.59,333
22/08/80,122.78,122.78,122.78,122.78,281
25/08/80,123.01,123.01,123.01,123.01,394
26/08/80,122.69,122.69,122.69,122.69,338
27/08/80,122.47,122.47,122.47,122.47,131
28/08/80,121.82,121.82,121.82,121.82,251
29/08/80,120.36,120.36,120.36,120.36,147
01/09/80,119.97,119.97,119.97,119.97,27
02/09/80,119.35,119.35,119.35,119.35,117
03/09/80,118.46,118.46,118.46,118.46,105
04/09/80,117.31,117.31,117.31,117.31,148
05/09/80,116.66,116.66,116.66,116.66,241
08/09/80,114.69,114.69,114.69,114.69,144
09/09/80,113.33,113.33,113.33,113.33,91
10/09/80,114.18,114.18,114.18,114.18,148
11/09/80,114.12,114.12,114.12,114.12,96
12/09/80,115.94,115.94,115.94,115.94,215
15/09/80,115.75,115.75,115.75,115.75,226
16/09/80,115.02,115.02,115.02,115.02,135
17/09/80,115.33,115.33,115.33,115.33,161
18/09/80,116.40,116.40,116.40,116.40,295
19/09/80,117.22,117.22,117.22,117.22,283
22/09/80,117.44,117.44,117.44,117.44,373
23/09/80,116.45,116.45,116.45,116.45,294
24/09/80,115.65,115.65,115.65,115.65,118
25/09/80,115.68,115.68,115.68,115.68,95
26/09/80,116.27,116.27,116.27,116.27,85
29/09/80,117.00,117.00,117.00,117.00,139
30/09/80,118.87,118.87,118.87,118.87,206
01/10/80,119.22,119.22,119.22,119.22,183
02/10/80,119.10,119.10,119.10,119.10,267
03/10/80,118.29,118.29,118.29,118.29,61
06/10/80,117.82,117.82,117.82,117.82,75
07/10/80,117.55,117.55,117.55,117.55,83
08/10/80,117.43,117.43,117.43,117.43,58
09/10/80,117.33,117.33,117.33,117.33,44
10/10/80,117.29,117.29,117.29,117.29,74
13/10/80,117.09,117.09,117.09,117.09,42
14/10/80,116.97,116.97,116.97,116.97,52
15/10/80,116.55,116.55,116.55,116.55,65
16/10/80,116.66,116.66,116.66,116.66,36
17/10/80,116.89,116.89,116.89,116.89,83
20/10/80,117.13,117.13,117.13,117.13,56
21/10/80,117.21,117.21,117.21,117.21,59
22/10/80,117.22,117.22,117.22,117.22,55
24/10/80,116.98,116.98,116.98,116.98,58
27/10/80,117.53,117.53,117.53,117.53,113
28/10/80,118.15,118.15,118.15,118.15,135
29/10/80,119.38,119.38,119.38,119.38,217
30/10/80,119.14,119.14,119.14,119.14,155
31/10/80,119.04,119.04,119.04,119.04,95
03/11/80,119.13,119.13,119.13,119.13,94
04/11/80,119.27,119.27,119.27,119.27,197
05/11/80,119.14,119.14,119.14,119.14,210
06/11/80,119.11,119.11,119.11,119.11,163
07/11/80,119.94,119.94,119.94,119.94,377
10/11/80,120.26,120.26,120.26,120.26,389
11/11/80,120.40,120.40,120.40,120.40,430
12/11/80,120.85,120.85,120.85,120.85,317
13/11/80,122.93,122.93,122.93,122.93,916
14/11/80,125.14,125.14,125.14,125.14,"1,148"
17/11/80,129.41,129.41,129.41,129.41,"1,034"
18/11/80,130.91,130.91,130.91,130.91,"1,551"
19/11/80,128.03,128.03,128.03,128.03,873
20/11/80,126.12,126.12,126.12,126.12,686
21/11/80,128.86,128.86,128.86,128.86,694
24/11/80,129.57,129.57,129.57,129.57,612
25/11/80,128.20,128.20,128.20,128.20,373
26/11/80,128.81,128.81,128.81,128.81,374
27/11/80,128.38,128.38,128.38,128.38,426
28/11/80,127.88,127.88,127.88,127.88,275
01/12/80,126.25,126.25,126.25,126.25,251
02/12/80,127.30,127.30,127.30,127.30,339
03/12/80,126.30,126.30,126.30,126.30,221
04/12/80,126.39,126.39,126.39,126.39,135
08/12/80,125.59,125.59,125.59,125.59,154
09/12/80,126.39,126.39,126.39,126.39,223
11/12/80,125.90,125.90,125.90,125.90,124
12/12/80,125.41,125.41,125.41,125.41,139
15/12/80,124.98,124.98,124.98,124.98,123
16/12/80,124.45,124.45,124.45,124.45,166
17/12/80,123.83,123.83,123.83,123.83,111
18/12/80,123.68,123.68,123.68,123.68,86
19/12/80,123.61,123.61,123.61,123.61,75
22/12/80,123.08,123.08,123.08,123.08,114
23/12/80,123.06,123.06,123.06,123.06,152
24/12/80,123.93,123.93,123.93,123.93,222
25/12/80,125.25,125.25,125.25,125.25,169
26/12/80,124.88,124.88,124.88,124.88,146
29/12/80,125.06,125.06,125.06,125.06,208
30/12/80,124.67,124.67,124.67,124.67,206
02/01/81,124.56,124.56,124.56,124.56,89
05/01/81,124.54,124.54,124.54,124.54,54
06/01/81,124.58,124.58,124.58,124.58,112
07/01/81,124.80,124.80,124.80,124.80,49
08/01/81,125.36,125.36,125.36,125.36,107
09/01/81,124.97,124.97,124.97,124.97,95
12/01/81,125.61,125.61,125.61,125.61,61
13/01/81,126.25,126.25,126.25,126.25,182
14/01/81,126.53,126.53,126.53,126.53,203
15/01/81,126.04,126.04,126.04,126.04,87
16/01/81,125.85,125.85,125.85,125.85,168
19/01/81,125.73,125.73,125.73,125.73,54
20/01/81,125.60,125.60,125.60,125.60,70
21/01/81,126.08,126.08,126.08,126.08,126
22/01/81,126.65,126.65,126.65,126.65,147
23/01/81,127.32,127.32,127.32,127.32,264
26/01/81,126.83,126.83,126.83,126.83,155
27/01/81,127.33,127.33,127.33,127.33,247
28/01/81,127.45,127.45,127.45,127.45,194
29/01/81,127.05,127.05,127.05,127.05,120
30/01/81,126.88,126.88,126.88,126.88,230
02/02/81,126.46,126.46,126.46,126.46,102
03/02/81,126.68,126.68,126.68,126.68,53
04/02/81,126.27,126.27,126.27,126.27,46
05/02/81,126.65,126.65,126.65,126.65,34
06/02/81,127.04,127.04,127.04,127.04,127
09/02/81,127.03,127.03,127.03,127.03,80
10/02/81,127.27,127.27,127.27,127.27,134
11/02/81,128.55,128.55,128.55,128.55,294
12/02/81,129.03,129.03,129.03,129.03,289
13/02/81,128.27,128.27,128.27,128.27,211
16/02/81,128.21,128.21,128.21,128.21,75
17/02/81,128.11,128.11,128.11,128.11,116
18/02/81,127.61,127.61,127.61,127.61,189
20/02/81,127.32,127.32,127.32,127.32,129
23/02/81,127.38,127.38,127.38,127.38,149
24/02/81,127.05,127.05,127.05,127.05,152
25/02/81,126.94,126.94,126.94,126.94,112
26/02/81,126.86,126.86,126.86,126.86,129
27/02/81,127.05,127.05,127.05,127.05,116
02/03/81,126.47,126.47,126.47,126.47,105
